Tanaka - Nenrei Equal Kanojo Inaireki no Mahou Tsukai -The Comic,"Yoshio Tanaka gets reincarnated into a fantasy game world, with healing magic as a ""cheat"" ability.",Manga,2016,"[{'title': 'Tanaka - Nenrei Equal Kanojo Inaireki no Mahou Tsukai', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Tanaka no Atelier - Nenrei Equal Kanojo Inaireki no Mahou Tsukai', 'type': 'Manga', 'relation': 'Alternate Story'}]","[{'title': 'Tanaka - Nenrei Equal Kanojo Inaireki no Mahou Tsukai -The Comic', 'language': 'en'}, {'title': 'Atelier Tanaka', 'language': 'id'}, {'title': 'Tanaka - Nenrei Equal Kanojo Inaireki no Mahoutsukai -The Comic', 'language': 'fi'}, {'title': 'Tanaka The Wizard', 'language': 'sw'}, {'title': 'Чародей Танака', 'language': 'ru'}, {'title': '田中－年齢イコール彼女いない歴の魔法使い', 'language': 'ja'}, {'title': '田中～年齢イコール彼女いない歴の魔法使い～ THE COMIC', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i315028.jpg,['TOKITA Monta'],['Buncololi'],"[{'publisher': 'Micro Magazine', 'label': ''}]","[{'publisher': 'Micro Magazine', 'label': 'Comic Ride'}]","['Action', 'Adult', 'Adventure', 'Comedy', 'Drama', 'Fantasy']",[]
"Tadaima, Mitsugetsu-chuu! Kishi to Himegimi no Toshi no Sa Marriage","Official English: INKRThe daughter of the Margrave, Natalie, met and fell in love with the longing knight Darius.A difference of 20 years, a difference of status-- I thought it was an impossible love, but... it came to be by a trick of fate!! What's more, he doted on me!?",Manga,2019,[],"[{'title': 'Tadaima, Mitsugetsu-chuu! Kishi to Himegimi no Toshi no Sa Marriage', 'language': 'en'}, {'title': 'At Long Last, Honeymoon Bound!', 'language': 'en'}, {'title': 'ただ今、蜜月中! 騎士と姫君の年の差マリアージュ', 'language': 'ja'}, {'title': '貴族小姐與騎士的蜜月之旅', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i307479.jpg,['DUO BRAND.'],['NAGATANIEN Sakura'],"[{'publisher': 'Ohzora Shuppan', 'label': ''}]","[{'publisher': 'Ohzora Shuppan', 'label': 'Le Noel'}, {'publisher': 'Ohzora Shuppan', 'label': 'Renai Hakusho Sherry Kiss'}]","['Fantasy', 'Josei', 'Romance', 'Smut']",[]
Tatakae!! Ramenman,"Set in a land where several martial arts styles collide, including (but not limited to) Chinese Kung Fu, Japanese Karate, and South Korean Taekwondo. Yet amongst these Shaolin-trained fighters and men powerful enough to cut the face of a mountain, Victory Ramenman is said to be the strongest of them all. At a young age, he witnessed his father Somenman being murdered by members of the Cobra Gang (who are still running rampant to this day). Found and taken in by the wise old Chen Sou-Mei, Ramenman trains for 12 years under his master and learns the great Essential Battle Dragon (闘龍極意書, To Ryuu Gokui Sho) style of Choujin Martial arts.Now, with his young sidekick Shao-Mai, Ramenman travels the land seeking vengeance for his father, fighting several villains along the way.",Manga,1982,"[{'title': 'Kinnikuman', 'type': 'Manga', 'relation': 'Alternate Story'}, {'title': 'Tatakae!! Ramenman: Sekizai no Kokoro no Maki', 'type': 'Manga', 'relation': 'Side Story'}]","[{'title': 'Tatakae!! Ramenman', 'language': 'en'}, {'title': 'Attack!! Ramenman', 'language': 'sv'}, {'title': '闘将!! 拉麺男', 'language': 'ja'}]","{'volume': 12, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i226763.jpg,['Yudetamago'],['Yudetamago'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Fresh Jump'}]","['Action', 'Adventure', 'Comedy', 'Shounen', 'Sports']",[]
Tenshi wo Ikasete Item Get!! Ikigacha de Dungeon Kouryaku!,,Manga,2022,[],"[{'title': 'Tenshi wo Ikasete Item Get!! Ikigacha de Dungeon Kouryaku!', 'language': 'en'}, {'title': 'Attack the Dungeon with Climax Gacha!', 'language': 'en'}, {'title': 'Make an Angel Climax and get an Item', 'language': 'nl'}, {'title': 'Make an Angel Cum and Get the Items!! Conquer the Dungeon with the Climax Gacha', 'language': 'en'}, {'title': '天使をイカせてアイテムゲット！！ 絶頂ガチャでダンジョン攻略！', 'language': 'ja'}]","{'volume': 1, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i438046.jpg,['TOUNO Itsuki'],['Hochi'],"[{'publisher': 'Takeshobo', 'label': ''}]","[{'publisher': 'Takeshobo', 'label': 'Web Comic Gamma Plus'}]","['Drama', 'Ecchi', 'Fantasy', 'Mature', 'Romance']",[]
The Athleters,,Manga,2016,[],"[{'title': 'The Athleters', 'language': 'en'}, {'title': 'ザ・アスリーターズ', 'language': 'ja'}]","{'volume': 5, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i258146.jpg,['AWATA Sei'],['AWATA Sei'],"[{'publisher': 'Shogakukan Creative', 'label': ''}]","[{'publisher': 'Shogakukan Creative', 'label': 'Heros'}, {'publisher': 'Shogakukan Creative', 'label': 'Pixiv Heros'}]",['Seinen'],[]
Teens Company,A collection of stories:1-3. Teens Company4. Remember 4 Side5. Ato no Matsuri6. Colors,Manga,2012,[],"[{'title': 'Teens Company', 'language': 'en'}, {'title': 'Ato no Matsuri', 'language': 'pt'}, {'title': 'Colors', 'language': 'en'}, {'title': 'Remember 4 Side', 'language': 'de'}, {'title': 'Teens Company', 'language': 'en'}, {'title': 'ティーンズカンパニー', 'language': 'ja'}, {'title': '若能飞到你身边', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i172298.png,['YOSHII Mari'],['YOSHII Mari'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Betsuma Two'}, {'publisher': 'Shueisha', 'label': 'Bessatsu Margaret'}, {'publisher': 'Shueisha', 'label': 'Bessatsu Margaret Sister'}, {'publisher': 'Shueisha', 'label': 'bianca'}]","['School Life', 'Shoujo']",[]
고깔모자의 아틀리에,"From Kodansha:In a world where everyone takes wonders like magic spells and dragons for granted, Coco is a girl with a simple dream: She wants to be a witch. But everybody knows magicians are born, not made, and Coco was not born with a gift for magic. Resigned to her un-magical life, Coco is about to give up on her dream to become a witch…until the day she meets Qifrey, a mysterious, traveling magician. After secretly seeing Qifrey perform magic in a way she’s never seen before, Coco soon learns what everybody “knows” might not be the truth, and discovers that her magical dream may not be as far away as it may seem.Note: Nominated for the 11th Manga Taishou Award in 2018. Won Best U.S. Edition of International Material - Asia, together with Cats of the Louvre, at the Eisner Awards in 2020. Won the Best Manga Award at the Harvey Awards in 2020.Comic Days releasesComic Days releases in English",Manga,2016,"[{'title': 'Tongari Boushi no Kitchen', 'type': 'Manga', 'relation': 'Side Story'}]","[{'title': 'Tongari Boushi no Atelier', 'language': 'en'}, {'title': 'Asrama Topi Lancip', 'language': 'ca'}, {'title': 'Atelier of Witch Hat: Das Geheimnis der Hexen', 'language': 'de'}, {'title': 'Atelier spiczastych kapeluszy', 'language': 'pl'}, {'title': 'Ateliér špičatých klobouků', 'language': 'cs'}, {'title': 'Cadı Şapkası Atölyesi', 'language': 'tr'}, {'title': 'El Atelier del Sombrero Puntiagudo', 'language': 'es'}, {'title': ""L'atelier des sorciers"", 'language': 'fr'}, {'title': 'Pondok Penyihir Topi Lancip', 'language': 'id'}, {'title': 'Tongari Booshi no Atorie', 'language': 'tl'}, {'title': 'Tongari Boushi no Atelier ~ Atelier of Witch Hat', 'language': 'en'}, {'title': 'Tongari Boushi no Atorie', 'language': 'sq'}, {'title': 'Tongari Bōshi no Atelier', 'language': 'tl'}, {'title': 'Tongari Bōshi no Atorie', 'language': 'tl'}, {'title': 'Tongariboushi no Atelier', 'language': 'en'}, {'title': 'Witch Hat Atelier', 'language': 'de'}, {'title': 'Xưởng Phép Thuật', 'language': 'vi'}, {'title': 'Δ帽子', 'language': 'el'}, {'title': 'Ателье колдовских колпаков', 'language': 'ru'}, {'title': 'Ательє чаклунських капелюхів', 'language': 'uk'}, {'title': 'ورشة قبعة الساحرة', 'language': 'ar'}, {'title': 'पोइन्ट टोपीको एटेलियर', 'language': 'ne'}, {'title': 'จอมเวทฝึกหัดกับหมวกมหัศจรรย์', 'language': 'th'}, {'title': 'とんがり帽子のアトリエ', 'language': 'ja'}, {'title': 'とんがり帽子のアトリエ ~ Atelier of Witch Hat', 'language': 'en'}, {'title': '尖帽子的魔法工房', 'language': 'ko'}, {'title': '고깔모자의 아틀리에', 'language': 'ko'}]","{'volume': 13, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i442262.jpg,['SHIRAHAMA Kamome'],['SHIRAHAMA Kamome'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Morning Two'}, {'publisher': 'Kodansha', 'label': 'Morning Two Web'}]","['Adventure', 'Comedy', 'Drama', 'Fantasy', 'School Life', 'Seinen', 'Slice of Life']",[]
Touhikou ja Arumaishi,"1–3. Touhikou ja Arumaishi (逃避行じゃあるまいし) [Canna vols. 80, 82, 84]4–5. Koishi-sa Tsunotte (恋しさ募って) [Canna vols. 70, 72]6. Koishi-sa Tsunotte: Ureshihazukashi-hen (恋しさ募って 嬉し恥ずかし編) [Canna vol. 74]7. Sou Iu no Hayaku itte yo! (そういうの早く言ってよ！) [Petit Canna vol. 4]8. Kore mo Ai no Katachi (これも愛の形)9. Party no Nochi wa Itsumo Samishii (パーティーの後はいつもさみしい)",Manga,2021,[],"[{'title': 'Touhikou ja Arumaishi', 'language': 'en'}, {'title': 'Attrape-moi si tu peux', 'language': 'fr'}, {'title': 'Love Escape', 'language': 'es'}, {'title': 'Tohiko ja Arumai shi', 'language': 'sw'}, {'title': 'Touhikou jya Arumaishi', 'language': 'sw'}, {'title': '逃避行じゃあるまいし', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i390588.jpg,['Takuan'],['Takuan'],"[{'publisher': 'Printemps Shuppan', 'label': ''}]","[{'publisher': 'Printemps Shuppan', 'label': 'Canna'}]","['Drama', 'Romance', 'Yaoi']",[]
Tsuyu Mamire,"1. Ama imouto (Sweet Younger Sister)2. Attameaikko (Let's Warm Up Together)3. Kawaii Ko Hodo Ijimetai (The Cuter He Is, The More I Want to Tease Him)4. Hiyake Musume Ice-gake (Sun-Tanned Girl with Ice Cream on Top)5. Mayonaka no Okyaku-san6. Kashikiri Maid-san (Reserved Maid)7. Imouto no Shitsuke8-10. Ken Kano11. Ken Kano: Mou Ippon",Manga,2012,[],"[{'title': 'Tsuyu Mamire', 'language': 'en'}, {'title': 'Amaimouto', 'language': 'lt'}, {'title': 'Attameaikko', 'language': 'fi'}, {'title': 'Hiyake Musume Ice-gake', 'language': 'sw'}, {'title': 'Imouto no Shitsuke', 'language': 'fi'}, {'title': 'Kashikiri Maid-san', 'language': 'sw'}, {'title': 'Kawaii Ko Hodo Ijimetai', 'language': 'sw'}, {'title': 'Ken Kano', 'language': 'id'}, {'title': 'Ken Kano: Mou Ippon', 'language': 'id'}, {'title': ""Let's Warm Up Together"", 'language': 'en'}, {'title': 'Mayonaka no Okyaku-san', 'language': 'tl'}, {'title': 'Reserved Maid', 'language': 'en'}, {'title': 'Sun-Tanned Girl with Ice Cream on Top', 'language': 'en'}, {'title': 'Sweet Younger Sister', 'language': 'de'}, {'title': 'The Cuter He Is, The More I Want to Tease Him', 'language': 'en'}, {'title': 'Tsuyumamire', 'language': 'tr'}, {'title': 'つゆまみれ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['FUKUYAMA Naoto'],['FUKUYAMA Naoto'],"[{'publisher': 'Core Magazine', 'label': ''}]","[{'publisher': 'Core Magazine', 'label': 'Comic Megastore Alpha'}]","['Adult', 'Hentai']",[]
VS Onnanoko,1-2. DOUBLE IMPACT3. 710 Man Gaso no Aijou (Love of 7.1 megapixels)4. M Iro no Ojousama (A masochist Signorina)5. Bouryokuteki no Kanojo (A violence girl)6. Kimi no Koe wo Kikasete (Let me hear your voice)7. Atatakai Wana (A warm trap) 8. Uchi no Ofuro de Shape-Up! (Let's do shape-up in our bus!),Manga,2006,[],"[{'title': 'VS Onnanoko', 'language': 'en'}, {'title': '710 Man Gaso no Aijou', 'language': 'sl'}, {'title': 'A masochist Signorina', 'language': 'en'}, {'title': 'A violence girl', 'language': 'it'}, {'title': 'A warm trap', 'language': 'en'}, {'title': 'Atatakai Wana', 'language': 'sw'}, {'title': 'Bouryokuteki no Kanojo', 'language': 'hr'}, {'title': 'DOUBLE IMPACT', 'language': 'en'}, {'title': 'Kimi no Koe wo Kikasete', 'language': 'sw'}, {'title': 'Let me hear your voice', 'language': 'fr'}, {'title': ""Let's do shape-up in our bus!"", 'language': 'en'}, {'title': 'Love of 7.1 megapixels', 'language': 'en'}, {'title': 'M Iro no Ojousama', 'language': 'pt'}, {'title': 'Uchi no Ofuro de Shape-Up!', 'language': 'pt'}, {'title': 'Versus Onnanoko', 'language': 'et'}, {'title': 'VS Versus Onnanoko', 'language': 'et'}, {'title': 'VSおんなのこ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['John Sitch-Oh'],['John Sitch-Oh'],"[{'publisher': 'Angel Shuppan', 'label': ''}]","[{'publisher': 'Angel Shuppan', 'label': 'Angel Club'}]","['Adult', 'Hentai', 'School Life']",[]
