"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Hajimete no Sameshima-kun,"Inori was attracted to Sameshima-kun, a mysterious delinquent who hardly shows up at class. It turns out he's trying hard to become an artist. So despite her friend's objections, Inori offers to model for his paintings to get closer to Sameshima. A love comedy about helping a boy to chase his dream!",Manga,2019,[],"[{'title': 'Hajimete no Sameshima-kun', 'language': 'en'}, {'title': 'はじめての鮫島くん', 'language': 'ja'}, {'title': '与鲛岛君的第一次', 'language': 'zh-cn'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i319898.jpg,['KUSAKA Aki'],['KUSAKA Aki'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Margaret'}]","['Comedy', 'Romance', 'School Life', 'Shoujo']",[]
처음이라 적당히가 안돼,,Manga,2019,[],"[{'title': 'Hajimete no Sekkusu wa Kagen ga Dekinai', 'language': 'en'}, {'title': '初めてのセックスは加減ができない', 'language': 'ja'}, {'title': '처음이라 적당히가 안돼', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i387905.jpg,['ITOU Sayo'],['ITOU Sayo'],"[{'publisher': 'OVERLAP', 'label': ''}]","[{'publisher': 'OVERLAP', 'label': 'LiQulle'}]","['Drama', 'Smut', 'Yaoi']",[]
Hajimete no Senshadou - WoT for Beginners,"A collaboration between the Girls und Panzer production team and World of Tanks Asia. Ooarai Girls Academy's Anglerfish team is here to introduce us to the hit tank warfare/senshado simulation game, World of Tanks!",Manga,2016,"[{'title': 'Girls & Panzer', 'type': 'Manga', 'relation': 'Adapted From'}]","[{'title': 'Hajimete no Senshadou - WoT for Beginners', 'language': 'en'}, {'title': 'Girls und Panzer: Hajimete no Senshado', 'language': 'de'}, {'title': 'Girls und Panzer: Hajimete no Senshadou', 'language': 'de'}, {'title': 'Hajimete no Senshado - WoT for Beginners', 'language': 'no'}, {'title': 'ガールズ＆パンツァー はじめての戦車道 ~WoT for Beginners~', 'language': 'ja'}]","{'volume': 1, 'status': 'Completed'}",https://cdn.mangaupdates.com/image/i323985.jpg,['HAGI Midori'],['HAGI Midori'],"[{'publisher': 'Media Factory', 'label': ''}]","[{'publisher': 'Media Factory', 'label': 'Comic Flapper'}, {'publisher': 'World of Tanks', 'label': 'World of Tanks'}]","['Action', 'Comedy', 'School Life', 'Seinen']",[]
Hajimete no Shuugakuryokou,,Manga,2018,[],"[{'title': 'Hajimete no Shuugakuryokou', 'language': 'en'}, {'title': 'Our First Field Trip', 'language': 'de'}, {'title': 'はじめての修学旅行', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i310201.jpg,['SERVICE BOY (Hontoku)'],['SERVICE BOY (Hontoku)'],[],[],"['Shotacon', 'Yaoi']",[]
Hajimete no Sex,,Manga,2002,[],"[{'title': 'Hajimete no Sex', 'language': 'en'}, {'title': 'Hajimete no Sekkusu', 'language': 'fi'}, {'title': 'はぢめてのせっくす', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['MADOU Uni'],['MADOU Uni'],"[{'publisher': 'Oakla Shuppan', 'label': ''}]",[],"['Adult', 'Hentai', 'Lolicon']",[]
Hajimete no Suwa-san,"“I've still got a lot to learn about the strange creatures known as ""girls""...”Yamanaka Suguru always viewed his ""first times"" as challenges to overcome. But when a girl suddenly confessed to him and became his girlfriend, she introduced him to countless new challenges that he's never known about.Official English Translation",Manga,2020,[],"[{'title': 'Hajimete no Suwa-san', 'language': 'en'}, {'title': 'My First Times With Suwa-san', 'language': 'en'}, {'title': 'ครั้งแรกของผมกับคุณสุวะ', 'language': 'th'}, {'title': 'はじめての諏訪さん', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i367705.jpg,['MANUMA Yasuka'],['MANUMA Yasuka'],"[{'publisher': 'Square Enix', 'label': ''}]","[{'publisher': 'Square Enix', 'label': 'Gangan Joker'}]","['Comedy', 'Romance', 'School Life', 'Shounen', 'Slice of Life']",[]
Hajimete no Tanaka Ronri,,Manga,2016,[],"[{'title': 'Hajimete no Tanaka Ronri', 'language': 'en'}, {'title': 'はじめての田中論理', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i425286.jpg,['FUNATSU Shinpei'],['FUNATSU Shinpei'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Magazine Special'}]",['Shounen'],[]
Hajimete no...,,Manga,1992,[],"[{'title': 'Hajimete no...', 'language': 'en'}, {'title': 'Hajimete no', 'language': 'hr'}, {'title': '初めての・・・', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i35442.jpg,['OKINO Yoko'],['OKINO Yoko'],"[{'publisher': 'Kodansha', 'label': ''}]",[],['Shoujo'],[]
Hajimete no Yoru Nidome no Asa,,Manga,2003,[],"[{'title': 'Hajimete no Yoru Nidome no Asa', 'language': 'en'}, {'title': 'はじめての夜二度めの朝', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i23621.jpg,['HARUNA Rika'],['KOBAYASHI Miyuki'],"[{'publisher': 'Kodansha', 'label': ''}]",[],"['Romance', 'Shoujo']",[]
Hajimete o Kudasai,"Go to school, chat with gal pals... Yui's daily routine undergoes a drastic change after the arrival of transfer student Sudou. Yui wants to give Rebel Looking for a Cause Sudou a wide berth, but her position on the school committee won't let her and she has to act as his tour guide.",Manga,2009,[],"[{'title': 'Hajimete o Kudasai', 'language': 'en'}, {'title': 'Hajimete wo Kudasai', 'language': 'sw'}, {'title': '初めてをください', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i292961.jpg,['MURATA Yuka'],['MURATA Yuka'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Mobafura'}]","['Josei', 'Romance', 'School Life', 'Smut']",[]
Hajimete Shitta Koi dakara,"Contains 2 stories:Story 1: Hajimete Shitta Koi Dakara (based on Jessica Steele's The Bachelor's Bargain)It was Jarad Montgomery who picked Merren up and dusted her down after she'd been mugged. He even offered to replace her stolen money.Merren was determined to repay Jarad, and he was happy to suggest a solution: be his steady girlfriend for a year! At first, Merren reckoned she'd got the better part of their bargain -- being escorted by Jarad was no hardship -- until he decided that their deal included other duties as well!Story 2: Hisho no Kokuhaku (based on Beverly Barton's Getting Personal)Marianne Bennet, or ""Bennie,"" has fallen in love with her boss, Holt Jackson. Five years have passed since she began working as his secretary, but she can't seem to get him to notice her in a romantic way. In order to get him to look her direction, Bennie takes some drastic measures...?",Manga,2013,[],"[{'title': 'Hajimete Shitta Koi dakara', 'language': 'en'}, {'title': 'Hisho no Kokuhaku', 'language': 'sw'}, {'title': ""The Bachelor's Bargain / Getting Personal"", 'language': 'en'}, {'title': '初めて知った恋だから', 'language': 'ja'}, {'title': '初めて知った恋だから／秘書の告白', 'language': 'ja'}, {'title': '秘書の告白', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i166237.jpg,['KAWAKAMI Chikako'],"['Beverly Barton', 'Jessica Steele']","[{'publisher': 'Harlequin', 'label': ''}]",[],"['Josei', 'Romance']",[]
Hajimete wa,,Manga,2014,[],"[{'title': 'Hajimete wa', 'language': 'en'}, {'title': 'First Time', 'language': 'de'}, {'title': 'ハジメテワ', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['Tsuruta Bungaku'],['Tsuruta Bungaku'],[],[],"['Adult', 'Hentai']",[]
"Hajimete wa, Futari de.",,Manga,2013,"[{'title': 'Kore Kara mo, Futari de.', 'type': 'Manga', 'relation': 'Sequel'}]","[{'title': 'Hajimete wa, Futari de.', 'language': 'en'}, {'title': 'Hajimete wa, Futari de', 'language': 'sw'}, {'title': 'はじめては、ふたりで。', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i179825.jpg,['MOMO Tamako'],['MOMO Tamako'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Betsucomi'}]","['Romance', 'School Life', 'Shoujo']",[]
Hajimete wa Kimi to Onsen de,,Manga,2018,[],"[{'title': 'Hajimete wa Kimi to Onsen de', 'language': 'en'}, {'title': 'はじめては君と温泉で', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i280631.jpg,['Ikuta Sakura'],['Ikuta Sakura'],"[{'publisher': 'Tokuma Shoten', 'label': ''}]","[{'publisher': 'Tokuma Shoten', 'label': 'Chara'}]",['Yaoi'],[]
Hajimete wa Watashi Dake no Mono,From Chibi Manga:The first H!! The first and heart pounding erotic one shot!,Manga,2014,[],"[{'title': 'Hajimete wa Watashi Dake no Mono', 'language': 'en'}, {'title': 'はじめては私だけのもの', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i271289.jpg,['MOMOI Sumire'],['MOMOI Sumire'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-ComiX'}]","['Romance', 'School Life', 'Shoujo', 'Smut']",[]
나에게 처음은 선생님뿐!,https://www.cmoa.jp/title/218359/,Manga,2021,[],"[{'title': ""Hajimete wa Sense Janakya Yada! ~Ubu Gyaru, Majime Yajuu to Kon'yaku Etchide Torotoro ni~"", 'language': 'en'}, {'title': '初めてはセンセじゃなきゃヤダ！～初心ギャル、マジメ野獣と婚約えっちでトロトロに～', 'language': 'ja'}, {'title': '나에게 처음은 선생님뿐!', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i361490.jpg,['AOSHIMA Yoshimi'],['AOSHIMA Yoshimi'],"[{'publisher': 'IProduction', 'label': ''}]","[{'publisher': 'IProduction', 'label': 'Kurohime Comic'}]","['Josei', 'Romance', 'Smut']",[]
"Hajimete, Kudasai.","Collection of short stories:1. Hajimete, Kudasai.2. Idol-sama no OkiniiriNiina is a 3rd rate performer in a school for idols. One day, with all her luck, she manages to hurt the arm of the top of the top idols - Takashiro Asuka. Will her life come to an abrubt end after this mistake, or will it...? - From Shoujo Sense3. Ano Natsu Kara Zutto.""While I went to a certain course, the summer of my third year, by chance I saw the baseball field. And while watching you try to hit the ball, you caught my heart.""""One year later, I've found you again..."" 4. Gouriki Ikka no Owarinaki Tousou5. Kimi no Tonari de Natsumatsuri6. Kimi no Kokoro ni Kaoridzuke",Manga,2013,[],"[{'title': 'Hajimete, Kudasai.', 'language': 'en'}, {'title': 'Ano Natsu Kara Zutto.', 'language': 'hr'}, {'title': 'Hajimete, Kudasai', 'language': 'et'}, {'title': 'Idol-sama no Okiniiri', 'language': 'tl'}, {'title': 'รักร้ายนายตัวแสบ', 'language': 'th'}, {'title': '初めて、ください。', 'language': 'ja'}, {'title': '給我妳的第一次', 'language': 'zh-tw'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i167023.jpg,['MOMOI Sumire'],['MOMOI Sumire'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-Comi'}, {'publisher': 'Shogakukan', 'label': 'Sho-ComiX'}]","['Romance', 'Shoujo']",[]
Hajimete wo Itadaku wa!,"Karen, a beautiful and popular university student who's involved in a rivalry with another pretty girl, visits her childhood friend with the goal of losing her virginity so she can keep up with her rival.",Manga,2018,[],"[{'title': 'Hajimete wo Itadaku wa!', 'language': 'en'}, {'title': ""I'll Be Taking Your First Time!"", 'language': 'en'}, {'title': '初めてをいただくわ！', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['KUROKOSHI You'],['KUROKOSHI You'],"[{'publisher': 'GOT', 'label': ''}]","[{'publisher': 'GOT', 'label': 'Comic ExE'}]","['Adult', 'Comedy', 'Hentai', 'Romance']",[]
처음인데 밝히는,"Would you like to take a look at our abnormal sex guide? From a college student who tries swinging when her boyfriend alone can't satisfy her, to a high school teacher who fantasizes about being groped on a train, to a wife stuck in a sexless marriage who tries going in for an erotic massage... all these people discover the pure ecstasy of unusual sex. Who knows? You might uncover your own kinks that you didn't know you even had!Original Webtoon:LezhinOfficial Translations:English",Manga,2023,[],"[{'title': 'Hajimete Zakari - Watashitachi no Real Sex Zukan', 'language': 'en'}, {'title': 'First Bloom: Real Sexual Experiences', 'language': 'en'}, {'title': 'ハジメテざかり〜私たちのリアルセックス図鑑〜', 'language': 'ja'}, {'title': '처음인데 밝히는', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i413505.jpg,['Norimaki'],['GIGATOON Studio'],"[{'publisher': 'GIGATOON Studio', 'label': ''}]",[],"['Adult', 'Drama', 'Josei', 'Romance']",[]
"Hajimete, Kanojo to.","Hajimete, Kanojo to., by Morishima Akiko-sensei, takes a look back at the origins of some of our favorite couples from her previous works.First we look back at Rakuen no Joken. For Sarina and Sumi we learn how they got together and why they’ve never really been a steady item. The series ends as Sarina realizes that Sumi moving in isn’t the life she wants, but travelling the world together with her is.Shinobu and Lalaa have been living together for a while and Lalaa is inexpressibly happy. But, as she reminisces about how they got together, she misses, just a little, the crybaby Shinobu of her youth.We then move on to Sayaka and Ruri from Ruri-iro Yume. Sayaka’s dream has changed since we first met her, but she thinks it’s okay – and so do we.And last, we meet up once again with Mitsuki and Kaoru from Renai Joshika. With them, we travel back into their school years, how they met, became friends, became lovers and what went on between them during their first time dating.",Manga,2013,"[{'title': 'Ruriiro no Yume', 'type': 'Manga', 'relation': 'Prequel'}, {'title': 'Rakuen no Jouken', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hajimete, Kanojo to.', 'language': 'en'}, {'title': 'Our First Time', 'language': 'de'}, {'title': 'The Conditions of Paradise: Our First Time', 'language': 'en'}, {'title': '与她的第一次', 'language': 'zh-cn'}, {'title': '初めて、彼女と。', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i261029.png,['MORISHIMA Akiko'],['MORISHIMA Akiko'],"[{'publisher': 'Ichijinsha', 'label': ''}]",[],"['Drama', 'Romance', 'Slice of Life', 'Yuri']",[]
Hajimete no H,,Manga,1999,[],"[{'title': 'Hajimete no H', 'language': 'en'}, {'title': 'はじめてのH 初体験オムニバス', 'language': 'ja'}, {'title': 'はじめてのH―初体験オムニバス', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i194311.jpg,['FUJIOMI Shuuko'],['FUJIOMI Shuuko'],"[{'publisher': 'Bunkasha', 'label': ''}]","[{'publisher': 'Shodensha', 'label': 'Feel Young'}]",['Josei'],[]
Hajimete...,From Shoujo Crusade:Yui has always loved Koutarou to the point that she became the manager of the athletic team. One day Koutarou confessed to her and they become a couple. Will there be heaven or hell waiting for Yui?,Manga,2007,[],"[{'title': 'Hajimete...', 'language': 'en'}, {'title': 'First...', 'language': 'de'}, {'title': 'はじめて。。。', 'language': 'ja'}, {'title': '始めて。。。', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i123269.png,['HATTORI Miki'],['HATTORI Miki'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-Comi'}]","['Comedy', 'Romance', 'School Life', 'Shoujo', 'Sports']",[]
Hajimete no Hatsujouki,,Manga,2009,[],"[{'title': 'Hajimete no Hatsujouki', 'language': 'en'}, {'title': 'Hajimete no Hatsujouki♡', 'language': 'hr'}, {'title': 'Hajimeteno Hatsujou-ki', 'language': 'hr'}, {'title': 'ハジメテのはつじょうき', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Low'],['Low'],"[{'publisher': 'Core Magazine', 'label': ''}]","[{'publisher': 'Core Magazine', 'label': 'Comic Megastore'}]","['Adult', 'Hentai', 'Lolicon']",[]
Hajimete no Hajime-chan,,Manga,2020,[],"[{'title': 'Hajimete no Hajime-chan', 'language': 'en'}, {'title': 'はじめてのはじめちゃん', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i336284.jpg,['FUKUMARU Yasuko'],['FUKUMARU Yasuko'],"[{'publisher': 'Shonen Gahosha', 'label': ''}]","[{'publisher': 'Shonen Gahosha', 'label': 'Hitori Gohan'}]","['Seinen', 'Slice of Life']",[]
Hajimete no Hito,,Manga,2015,[],"[{'title': 'Hajimete no Hito', 'language': 'en'}, {'title': 'My First One', 'language': 'en'}, {'title': 'はじめてのひと', 'language': 'ja'}]","{'volume': 8, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i448505.png,['TANIKAWA Fumiko'],['TANIKAWA Fumiko'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Cocohana'}]","['Drama', 'Josei', 'Romance', 'Slice of Life']",[]
Hajimete no Hito,,Manga,2008,[],"[{'title': 'Hajimete no Hito', 'language': 'en'}, {'title': 'My First Lady', 'language': 'en'}, {'title': 'ハジメテのヒト', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Houruri'],['Houruri'],"[{'publisher': 'Angel Shuppan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hajimete no hitozuma,"Sure, she may be married… but sharing is caring! - from J181. A Woman Like I'd Never Seen Before / Ore ga Mita Koto no Nai Kanojo2. Delivery Sex3. Kanae-san's Summer Vacation4. High School Slut's Love Consultation / JK Bitch no Renai Soudan5. A Mother's Love / Oyako no Omoi6. Mrs. Yukino's Sex Education / Yukino-sensei no Seikyouiku7. Intolerable Classmate / Nigate na Doukyuusei8. High School Mom's Study Plan / JK Mama no Shiken TaisakuNote:Animated OVA adaptation: Hajimete no Hitozuma    Episodes 1-2 adapts chapter 1    Episode 3 adapts chapter 2    Episode 4 adapts chapter 4    Episode 5 adapts chapter 8    Episode 6 adapts chapter 5",Manga,2019,"[{'title': ""Mrs. Yukino's Sex Education"", 'type': 'Manga', 'relation': 'Side Story'}, {'title': 'Delivery Sex', 'type': 'Manga', 'relation': 'Side Story'}]","[{'title': 'Hajimete no hitozuma', 'language': 'en'}, {'title': ""A Mother's Love"", 'language': 'en'}, {'title': ""A Woman Like I'd Never Seen Before"", 'language': 'da'}, {'title': 'First Taste of a Married Woman', 'language': 'en'}, {'title': ""High School Mom's Study Plan"", 'language': 'en'}, {'title': ""High School Slut's Love Consultation"", 'language': 'en'}, {'title': 'Intolerable Classmate', 'language': 'en'}, {'title': 'JK Bitch no Renai Soudan', 'language': 'id'}, {'title': 'JK Mama no Shiken Taisaku', 'language': 'sw'}, {'title': 'JKビッチの恋愛相談', 'language': 'ja'}, {'title': ""Kanae-san's Summer Vacation"", 'language': 'en'}, {'title': 'Nigate na Doukyuusei', 'language': 'et'}, {'title': 'Ore ga Mita Koto no Nai Kanojo', 'language': 'hr'}, {'title': 'Oyako no Omoi', 'language': 'hr'}, {'title': ""She's Somebody's Spouse"", 'language': 'en'}, {'title': 'Yukino-sensei no Seikyouiku', 'language': 'fi'}, {'title': '初めてのヒトヅマ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['SHINOZUKA Yuuji'],['SHINOZUKA Yuuji'],"[{'publisher': 'Akaneshinsha', 'label': ''}]","[{'publisher': 'Akaneshinsha', 'label': 'Comic Tenma'}, {'publisher': 'Akaneshinsha', 'label': 'Comic Saseco'}, {'publisher': 'Akaneshinsha', 'label': 'Comic Sigma'}]","['Adult', 'Hentai']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 1}]"
Hajimete no Kedamono ~Los Angeles Jikenbo~,,Manga,2022,"[{'title': 'Hajimete no Kedamono', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hajimete no Kedamono ~Los Angeles Jikenbo~', 'language': 'en'}, {'title': 'はじめてのケダモノ～ロサンゼルス事件簿～', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i425196.jpg,['YUUHI Ryu'],['YUUHI Ryu'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Mobafura'}]","['Josei', 'Romance', 'Smut']",[]
"Hajimete no Hito wa, Kareshi no Otouto.","MANGA REBORN:Tsugumi is a girl who went through a tough breakup with the first boyfriend she ever had as a student. Several years later she finds herself being loved unconditionally by her senior coworker Shinobu. Day in and day out Shinobu fawns over her and drives her mad with his incessant loving. She feels at times like her body can take no more and is happy in her relationship with Shinobu until the day they decide to go back and visit his family home. What a shock when the person to come out and greet them is someone she never thought she’d ever see again, Rio. He was her very first boyfriend and the one she gave her innocence up to and is apparently… Shinobu’s little brother!? Rio, the one who thanked her for letting him take her virginity, appears in her dreams again and again. Although they broke up long ago, he continues to play around with her and make her body ache for him.",Manga,2016,[],"[{'title': 'Hajimete no Hito wa, Kareshi no Otouto.', 'language': 'en'}, {'title': 'Hajimete no hito wa, kareshi no otouto. More hibiku aegigoe o kikanaide…', 'language': 'sw'}, {'title': ""My First Time was with My Boyfriend's Little Brother"", 'language': 'en'}, {'title': ""My First Time was with My Boyfriend's Little Brother: And I hope that neither of them hears me moan"", 'language': 'en'}, {'title': '初めての人は、彼氏の弟。', 'language': 'ja'}, {'title': '初めての人は、彼氏の弟。 漏れ響くあえぎ声を聞かないで…', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i242568.jpg,['Chihana Kiha'],['Chihana Kiha'],"[{'publisher': 'Cosmic Shuppan', 'label': 'print'}, {'publisher': 'Mobile Media Research', 'label': 'digital'}]","[{'publisher': 'Mobile Media Research', 'label': 'Love Kyun Comic'}]","['Josei', 'Romance', 'Smut']",[]
Hajimete no Kare,A collection of short stories.,Manga,2005,[],"[{'title': 'Hajimete no Kare', 'language': 'en'}, {'title': 'Hajimete no Hito', 'language': 'hr'}, {'title': '初めての彼～えのもと椿短編集～', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i33230.jpg,['ENOMOTO Tsubaki'],['ENOMOTO Tsubaki'],"[{'publisher': 'Daitosha', 'label': ''}]",[],['Yaoi'],[]
Hajimete no Koi ni Enkyori wa Mubou deshou ka?,,Manga,2020,[],"[{'title': 'Hajimete no Koi ni Enkyori wa Mubou deshou ka?', 'language': 'en'}, {'title': 'はじめての恋に遠距離は無謀でしょうか?', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i337484.jpg,['KAIDA Hiro'],['KAIDA Hiro'],"[{'publisher': 'Amucomi', 'label': ''}]","[{'publisher': 'Amucomi', 'label': 'G Girls'}]","['Josei', 'Romance']",[]
Hajimete no Koi - Hajimari no Ai,,Manga,2023,[],"[{'title': 'Hajimete no Koi - Hajimari no Ai', 'language': 'en'}, {'title': '初めての恋 始まりの愛', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i444672.jpg,['YAMASHIRO Kagetsu'],['YAMASHIRO Kagetsu'],"[{'publisher': 'Eiwa Shuppansha', 'label': ''}]","[{'publisher': 'Eiwa Shuppansha', 'label': 'Kanon Mia Comics'}]","['Adult', 'Josei', 'Romance', 'Smut']",[]
Hajimete no Kiss,,Manga,2015,[],"[{'title': 'Hajimete no Kiss', 'language': 'en'}, {'title': 'はじめてのキス', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i305622.jpg,"['ISHII Yuka', 'KISARAGI Yukino', 'MAKANE Yuu', 'MOCHI Usagi', 'SEIKE Midori', 'TERASHITA Yoko', 'TSUJINAGA Hitsuji']","['ISHII Yuka', 'KISARAGI Yukino', 'MAKANE Yuu', 'MOCHI Usagi', 'SEIKE Midori', 'TERASHITA Yoko', 'TSUJINAGA Hitsuji']","[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Ciao'}]","['Romance', 'Shoujo']",[]
Hajimete no Koto,,Manga,2005,[],"[{'title': 'Hajimete no Koto', 'language': 'en'}, {'title': 'はじめてのコト', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Arinko'],['Arinko'],"[{'publisher': 'Moerl Publishing', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hajimete no Koushien,,Manga,2006,[],"[{'title': 'Hajimete no Koushien', 'language': 'en'}, {'title': 'Hajimete no Koshien', 'language': 'sq'}, {'title': 'はじめての甲子園', 'language': 'ja'}]","{'volume': 7, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i120066.png,['HIMURA Masaki'],['HIMURA Masaki'],"[{'publisher': 'Square Enix', 'label': ''}]","[{'publisher': 'Square Enix', 'label': 'Shounen GanGan'}]","['Comedy', 'Shounen', 'Sports']",[]
