"팔남이라니, 그건 아니잖아요!","Ichinomiya Shingo, a young 25 years old, single, company worker, while thinking of tomorrow's busy working day goes to sleep. However, the moment he woke up, it was a room unknown to him. He then learned that he was inside a 6-year-old boy and had taken over his mind.Furthermore, he learned a lot from the memories of the said boy: he was born as the youngest child (8th son and 10th child) of a poor noble family living in the backcountry. Having no administrative skills, he couldn't do anything to manage the vast land his family had. Fortunately, he was blessed with a very rare talent, the talent of magic. Unfortunately, while his talent could bring prosperity to his family, in his situation it only brought disaster.Yes, this is the story of the boy, Wendelin von Benno Baumeister, opening his own path in a harsh world.Original raw",Manga,2015,"[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'type': 'Novel', 'relation': 'Adapted From'}, {'title': 'Hachinan tte, Sore wa nai Deshou! - Hajimari no Monogatari', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Hachinan tte, Sore wa Nai Deshou!', 'language': 'en'}, {'title': 'Le Huitième fils', 'language': 'fr'}, {'title': 'The 8th Son? Are You Kidding Me?', 'language': 'en'}, {'title': '¿El octavo hijo? ¡Eso no puede ser cierto!', 'language': 'es'}, {'title': 'Восьмой сын? Да не может этого быть!', 'language': 'ru'}, {'title': 'Восьмой сын? Я не могу этого принять!', 'language': 'ru'}, {'title': 'хатинан ттэ, сорэ ва най дэсё:', 'language': 'ru'}, {'title': 'ผมเนี่ยนะ...ชายแปด!', 'language': 'th'}, {'title': '八男って、それはないでしょう!', 'language': 'ja'}, {'title': '八男？别闹了！', 'language': 'zh-cn'}, {'title': '팔남이라니, 그건 아니잖아요!', 'language': 'ko'}]","{'volume': 14, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i454081.jpg,['KUSUMOTO Hiroki'],['Y.A'],"[{'publisher': 'Kadokawa', 'label': ''}]","[{'publisher': 'Kadokawa', 'label': 'Isekai Comic'}, {'publisher': 'Kadokawa', 'label': 'Comic Walker'}]","['Action', 'Adventure', 'Comedy', 'Drama', 'Fantasy', 'Harem', 'Romance', 'Seinen']","[{'volume_start': '', 'anime_start': 1, 'volume_end': '', 'anime_end': 11}]"
Hadai Lolita,,Manga,2010,[],"[{'title': 'Hadai Lolita', 'language': 'en'}, {'title': 'はだいろりーた', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['MIYAHARA Mimikaki'],['MIYAHARA Mimikaki'],"[{'publisher': 'Hit Shuppansha', 'label': ''}]",[],"['Adult', 'Hentai', 'Lolicon']",[]
Hadairo no Aijou Hyougen,"From MangaHelpers:This manga depicts a series of short stories that usually centers around a man and a woman that, in the beginning lacks any kind of skin-ship, falls in love with each other through sex. Every single one of these short stories will always end with the main characters discovering a different side of each other's personalities through intercourse.",Manga,2013,[],"[{'title': 'Hadairo no Aijou Hyougen', 'language': 'en'}, {'title': '肌色の愛情表現', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",,['SHIGAOKA Toki'],['SHIGAOKA Toki'],"[{'publisher': 'Take Shobo', 'label': ''}]","[{'publisher': 'Take Shobo', 'label': 'Vitaman'}]","['Adult', 'Hentai']",[]
Hada no Kioku,A collection of short stories written in the 90s.Contents:1. Suityuka2. Piasu3. Mazu4. Yuuko no Koro5. Izumi no Fuchi6. Onibi7. Hada no Kioku,Manga,,[],"[{'title': 'Hada no Kioku', 'language': 'en'}, {'title': '肌の記憶', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i227779.jpg,['IKEGAMI Ryouichi'],['IKEGAMI Ryouichi'],"[{'publisher': 'Shogakukan', 'label': ''}]",[],"['Adult', 'Drama', 'Mystery', 'Romance', 'Seinen']",[]
알몸 카메라,"Because he did not pass his college entrance exam, Kagami Kyosuke cannot stay close to Kojo Hikari, the love of his life. So instead he gets a part-time job near her university and buys an old camera since Hikari is passionate for photography. But as it turns out, this camera contains a secret that will get him involved in all sorts of embarrassing and awkward situations, especially with Botan Oshikiri, his senpai and co-worker. Kyosuke's new life is about to get quite steamy!Original Web Manga",Manga,2017,[],"[{'title': 'Hadacamera', 'language': 'en'}, {'title': 'Naked Camera', 'language': 'en'}, {'title': 'ハダカメラ', 'language': 'ja'}, {'title': '变身照相机', 'language': 'zh-cn'}, {'title': '알몸 카메라', 'language': 'ko'}]","{'volume': 9, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i289804.png,['HONNA Wakou'],['HONNA Wakou'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sunday Web Every'}]","['Adult', 'Comedy', 'Drama', 'Harem', 'Romance', 'Shounen', 'Supernatural']",[]
누드 에이프런,"Who is this naked handsome guy !? Hanako inherited from her late mother, a takoyaki shop on the verge of collapse. One day, Hanako discovers a handsome guy who is completely naked next to the store! He knew Hanako for some reason, even though he had no clothes or memories ...!?",Manga,2020,[],"[{'title': 'Hadaka Apron', 'language': 'en'}, {'title': 'Naked Apron', 'language': 'en'}, {'title': 'はだかエプロン', 'language': 'ja'}, {'title': '누드 에이프런', 'language': 'ko'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i401754.jpg,['Pikopiko'],['Pikopiko'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Mobafura'}]","['Comedy', 'Josei', 'Romance', 'Smut']",[]
Hadaka de Soto ni wa Derarenai,,Manga,2010,[],"[{'title': 'Hadaka de Soto ni wa Derarenai', 'language': 'en'}, {'title': 'Hadaka de Sotoniwa Dereare Nai', 'language': 'id'}, {'title': ""You Can't Go Outside Naked"", 'language': 'en'}, {'title': '裸で外には出られない', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i139982.png,['YAMASHITA Tomoko'],['YAMASHITA Tomoko'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Cocohana'}]","['Josei', 'Romance', 'Slice of Life']",[]
Hadaka Kubiwa,Ch.1 - Puppy Rearing DairyCh.2 - From Little Sister To Sex SlaveCh.6 - Hot Weather Is Not An Excuse For Drinking Nothing But Soda PopCh.9 - Come To My House!?,Manga,2009,[],"[{'title': 'Hadaka Kubiwa', 'language': 'en'}, {'title': 'はだかくびわ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['MIYAHARA Mimikaki'],['MIYAHARA Mimikaki'],"[{'publisher': 'Hit Shuppansha', 'label': ''}]","[{'publisher': 'Hit Shuppansha', 'label': 'Comic Aun'}]","['Adult', 'Hentai', 'Lolicon']",[]
Hadaka de Gomen ne. - Hakuchuu Roshutsu Musume,,Manga,2001,[],"[{'title': 'Hadaka de Gomen ne. - Hakuchuu Roshutsu Musume', 'language': 'en'}, {'title': 'Hadaka de Gomen ne', 'language': 'id'}, {'title': 'I Am Sorry I Am Stark Naked', 'language': 'en'}, {'title': '裸でゴメンね。 ～白昼露出娘～', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['THE SEIJI'],['The Seiji'],"[{'publisher': 'Outou Shobou', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Hadaka Manto no Ronriteki Saiban,,Manga,2014,[],"[{'title': 'Hadaka Manto no Ronriteki Saiban', 'language': 'en'}, {'title': '裸マントの論理的裁判', 'language': 'ja'}]","{'volume': 0, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i194034.jpg,['MATSUBAYASHI Satoru'],['MATSUBAYASHI Satoru'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]","[{'publisher': 'Kadokawa Shoten', 'label': 'Young Ace'}]",['Seinen'],[]
Hadaka BL,Cover: Ken (拳),Manga,2020,[],"[{'title': 'Hadaka BL', 'language': 'en'}, {'title': '裸BL', 'language': 'de'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i450354.jpg,"['AMAMIYA Kayou', 'Anthology', 'GUREN Naomi', 'HAMAKI Suiryu', 'HIRO Haruyoshi', 'Ken (拳)', 'SAKIRA', 'UMEUCHI Souta']","['AMAMIYA Kayou', 'Anthology', 'GUREN Naomi', 'HAMAKI Suiryu', 'HIRO Haruyoshi', 'SAKIRA', 'UMEUCHI Souta']","[{'publisher': 'Eiwa Shuppansha', 'label': ''}]","[{'publisher': 'Eiwa Shuppansha', 'label': 'Daisy Comics'}]",['Yaoi'],[]
