Ririko-san no Kekkon,,Manga,1984,[],"[{'title': 'Ririko-san no Kekkon', 'language': 'en'}, {'title': '梨々子さんの結婚', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['UESAKI Hiroko'],['UESAKI Hiroko'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['N/A'],[]
Ririko In Heat,,Manga,2012,[],[],"{'volume': 1, 'status': 'Complete'}",,['Ozawa Reido'],['Ozawa Reido'],[],[],"['Adult', 'Hentai']",[]
"Ririshii Mao-chan wa, Chuuiki shi Sugina Eroi Karada wo Kakushiteru.","""She's... super-duper feminine."" Her dripping wet pussy coupled with her embarrassed look, my childhood friend's way too cute after an orgasm...Official English Translation",Manga,2020,[],"[{'title': 'Ririshii Mao-chan wa, Chuuiki shi Sugina Eroi Karada wo Kakushiteru.', 'language': 'en'}, {'title': 'Boyish Mao Is Hiding Her Erotic Body', 'language': 'en'}, {'title': '凛々しい真央ちゃんは､中イキし過ぎなエロい身体を隠してる｡', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['SATSUKI Asha'],['SATSUKI Asha'],"[{'publisher': 'Screamo', 'label': ''}]","[{'publisher': 'Screamo', 'label': 'Mens Screamo'}]","['Adult', 'Hentai', 'Sports']",[]
Riryi Toraianguru,One wants to worship! One wants to protect! The other wants to be looked down on! It's a Love Triangle Yuri Comedy!!,Manga,2020,[],"[{'title': 'Riryi Toraianguru', 'language': 'en'}, {'title': 'Lily Triangle', 'language': 'tl'}, {'title': 'リリィ・トライアングル', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i335608.jpg,['TSUNAMINO Yuu'],['TSUNAMINO Yuu'],"[{'publisher': 'Seikaisha', 'label': ''}]","[{'publisher': 'Seikaisha', 'label': 'Twi 4'}]","['Comedy', 'Romance', 'School Life', 'Shoujo Ai']",[]
"이성을 버리고, 동경을 품다","Did you say that? I wish I had a connection with you.Passionate career woman Ayame is as good as any man in her field. Although she has suffered through a lot of hardships, her juniors rely on her and every day feels rewarding. One day, she hears a rumors that the son of the company president will take over as acting president in place of his sick father.At night, relaxing with a drink at her favourite bar, she meets Tsubaki, a strangely friendly and frivolous yet undoubtedly alluring man. Drunk on alcohol and the atmosphere, the two spent the night together...",Manga,2021,[],"[{'title': 'Risei O Sutete, Dōkei O Daku', 'language': 'en'}, {'title': 'Risei O Sutete, Doukei O Daku', 'language': 'de'}, {'title': '理性を捨てて、憧憬を抱く', 'language': 'ja'}, {'title': '이성을 버리고, 동경을 품다', 'language': 'ko'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i356048.jpg,['Shibatora'],['Shibatora'],"[{'publisher': 'Bunkasha', 'label': ''}]","[{'publisher': 'Bunkasha', 'label': 'Love Kiss!'}, {'publisher': 'Bunkasha', 'label': 'Love Kiss! More'}]","['Josei', 'Romance', 'Smut']",[]
Risa-chan Daishuugou!!,,Manga,2000,[],"[{'title': 'Risa-chan Daishuugou!!', 'language': 'en'}, {'title': 'りさちゃん大集合!!', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i85485.jpg,['ITOU Risa'],['ITOU Risa'],"[{'publisher': 'Futabasha', 'label': ''}]","[{'publisher': 'Futabasha', 'label': 'Manga Action'}]","['Comedy', 'Seinen']",[]
이성 잃은 절륜한 동기와 사내 섹스,,Manga,2023,[],"[{'title': 'Risei Naku Shita Zetsurin Douki ni, Honnou Mukidashi de Dakaretemasu', 'language': 'en'}, {'title': '理性なくした絶倫同期に、本能むき出しで抱かれてます', 'language': 'ja'}, {'title': '이성 잃은 절륜한 동기와 사내 섹스', 'language': 'ko'}]","{'volume': 0, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i416911.png,['TAKASHINO Rami'],['TAKASHINO Rami'],"[{'publisher': 'Bevy', 'label': ''}]","[{'publisher': 'Bevy', 'label': 'Binkan Kyun Girls'}]","['Josei', 'Romance', 'Smut']",[]
Risei Aru Ousama Omega to Akaharu wo.,,Manga,2022,[],"[{'title': 'Risei Aru Ousama Omega to Akaharu wo.', 'language': 'en'}, {'title': 'リセイある王様Ωと赤春を。', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i445811.jpg,['KIKA Ito'],['KIKA Ito'],"[{'publisher': 'Tokuma Shoten', 'label': ''}]","[{'publisher': 'Tokuma Shoten', 'label': 'Chara'}]",['Yaoi'],[]
Rising,,Manga,2003,[],"[{'title': 'Rising', 'language': 'en'}, {'title': 'ライジング', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i39710.jpg,['WATABE Jun'],['WATABE Jun'],"[{'publisher': 'Futabasha', 'label': ''}]","[{'publisher': 'Futabasha', 'label': 'Manga Action'}]","['Seinen', 'Sports']",[]
Risetto!,"The story is set in the same school as Yuru Yuri.Hiro is an ordinary first-year student who enjoys her quiet school life. One day, she picks up a drawing by Toshinou Kyouko which causes her classmate Aoi to mistake Hiro for the artist. Unable to clear up the misunderstanding, Hiro is persuaded to create a doujin game together with Aoi-chan.",Manga,2010,"[{'title': 'Yuruyuri', 'type': 'Manga', 'relation': 'Main Story'}]","[{'title': 'Risetto!', 'language': 'en'}, {'title': 'Reset!', 'language': 'de'}, {'title': 'りせっと！', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i112466.jpg,['Namori'],['Namori'],"[{'publisher': 'Ichijinsha', 'label': ''}]","[{'publisher': 'Ichijinsha', 'label': 'Febri'}]","['Comedy', 'School Life', 'Shounen', 'Slice of Life']",[]
Rising Hearts,"From MangaHelpers:When her parents went overseas, Nagamori Konoka moved in with her aunt and her cousin, Itsuki. Konoka is excited to transfer into this new school and start her new school life, but she starts off her first day by being late to class! When she learns that her cousin is in the tennis club, she eagerly decides to join the girls tennis club. Konoka has never played tennis before, and she is taken aback to see how highly skilled the other girls are. When she tries hitting a few balls, though, Konoka surprises everyone with her amazing natural talent.Konoka begins to make friends with the girls on the tennis team, especially the captain, Kyoka. The one teammate who doesn't seem to want to be her friend is her classmate Mizuki, who is skilled at tennis but very standoffish. Will Konoka be able to make friends with everyone and enjoy her tennis-filled life to the fullest?",Manga,2010,[],"[{'title': 'Rising Hearts', 'language': 'en'}, {'title': 'Raijingu Haatsu', 'language': 'et'}, {'title': 'ライジングハーツ', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i143465.jpg,['AOI Mikan'],['AOI Mikan'],"[{'publisher': 'Nihon Bungeisha', 'label': ''}]","[{'publisher': 'Nihon Bungeisha', 'label': 'Sakura Hearts'}]","['Comedy', 'Ecchi', 'School Life', 'Seinen', 'Sports']",[]
Rising Sun,,Manga,1989,[],[],"{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i17449.gif,[],['MATSUMOTO Mio'],"[{'publisher': 'Kodansha', 'label': ''}]",[],['Shoujo'],[]
Rising Sun R,,Manga,2018,"[{'title': 'Rising Sun', 'type': 'Manga', 'relation': 'FUJIWARA Satoshi) (Prequel'}]","[{'title': 'Rising Sun R', 'language': 'en'}, {'title': 'Rising Sign R - Ranger & Rescue', 'language': 'de'}, {'title': 'ライジングサンR', 'language': 'ja'}]","{'volume': 12, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i423032.jpg,['FUJIWARA Satoshi'],['FUJIWARA Satoshi'],"[{'publisher': 'Futabasha', 'label': ''}]","[{'publisher': 'Futabasha', 'label': 'Manga Action'}]","['Action', 'Drama', 'Seinen']",[]
Rising!,"From the Ultimate Manga Guide:Yuki Nishina has joined the prestigious Kyuen Music College only because she wants to learn ballroom dancing. Bewildered, she sets out on the path to the world of dramatic arts.",Manga,1981,[],"[{'title': 'Rising!', 'language': 'en'}, {'title': 'ライジング!', 'language': 'ja'}, {'title': '舞榭情怀', 'language': 'ko'}]","{'volume': 15, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i37312.jpg,['FUJITA Kazuko'],['HIMURO Saeko'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-Comi'}]","['Romance', 'Shoujo']",[]
