Kaeru no Ouji-sama,,Manga,2001,[],"[{'title': 'Kaeru no Ouji-sama', 'language': 'en'}, {'title': 'かえるの王様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i18764.jpg,['NAGASAWA Satoru'],['NAGASAWA Satoru'],"[{'publisher': 'Shueisha', 'label': ''}]",[],"['Romance', 'Shoujo']",[]
Kaeru no Shippo,1. Push! Gush! Rush!2-5. Kaeru no Shippo6. Law of the Destiny7. Koukishin to Kousenryaku8. Natsu no Owari9. Secret Thought,Manga,2011,[],"[{'title': 'Kaeru no Shippo', 'language': 'en'}, {'title': 'Tail of the Frog', 'language': 'en'}, {'title': 'かえるのしっぽ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Akishima Shun'],['Akishima Shun'],"[{'publisher': 'Hit Shuppansha', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Kaeru no Prince-sama,"Socially awkward Aono was perfectly happy working in Quality Control but as fate would have it he's been transferred to the Sales Department?? As if being ridiculed by his co-workers for his nervous stutter isn't bad enough, he's thoroughly mortified when the departmental star Gouzaka overhears him having a breakdown on the roof. But no matter how often he pushes Gouzaka away or how fast Aono runs Gouzaka is always there by his side... Has this timid frog finally found his Prince Charming?Published also as ""Kaeru No Oujisama""",Manga,2012,[],"[{'title': 'Kaeru no Prince-sama', 'language': 'en'}, {'title': 'Kaeru no Oujisama', 'language': 'hr'}, {'title': ""The Frog's Prince"", 'language': 'en'}, {'title': 'Лягушачий принц', 'language': 'ru'}, {'title': 'เจ้าชายของนายกบ', 'language': 'th'}, {'title': 'かえるのプリンスさま', 'language': 'ja'}, {'title': 'かえるの王子様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i127271.png,['Panco.'],['Panco.'],"[{'publisher': 'Ichijinsha', 'label': ''}]","[{'publisher': 'Ichijinsha', 'label': 'Gateau'}, {'publisher': 'Bunendo', 'label': 'S-lash2'}]","['Comedy', 'Romance', 'Slice of Life', 'Yaoi']",[]
Kaeru to Haru no Choujuu Giga,,Manga,2016,[],"[{'title': 'Kaeru to Haru no Choujuu Giga', 'language': 'en'}, {'title': ""Frog and Haru's Super Beast Comic"", 'language': 'en'}, {'title': '蛙とハルの超獣戯画', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i253056.jpg,['Yoshikage'],['Yoshikage'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Jump SQ. Crown'}]","['Action', 'Drama', 'Shounen', 'Supernatural']",[]
Kaeru Otoko Matsuri da ze!,,Manga,2007,[],"[{'title': 'Kaeru Otoko Matsuri da ze!', 'language': 'en'}, {'title': 'Kaeru Otoko Matsuri daze!', 'language': 'hr'}, {'title': 'The Frogman Festival... Daze!', 'language': 'en'}, {'title': '蛙男祭りだぜ!', 'language': 'ja'}]","{'volume': 0, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i98141.jpg,['FROGMAN'],['FROGMAN'],"[{'publisher': 'Kadokawa Shoten', 'label': ''}]","[{'publisher': 'Kadokawa Shoten', 'label': 'Shounen Ace'}]","['Comedy', 'Shounen']",[]
Kaeru Yashiki no Benjamin,Tells the story of an orphaned boy who becomes landlord of a house where three old people are living. But the house has a secret.,Manga,2001,[],"[{'title': 'Kaeru Yashiki no Benjamin', 'language': 'en'}, {'title': 'カエル屋敷のベンジャミン', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i69181.jpg,['KUBO Kiriko'],['KUBO Kiriko'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Big Comic Superior'}]","['Comedy', 'Seinen']",[]
Kaeruhime to Ouji,,Manga,1999,[],"[{'title': 'Kaeruhime to Ouji', 'language': 'en'}, {'title': 'Kaeru Hime to Ouji', 'language': 'hr'}, {'title': 'カエル姫と王子', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i29612.jpg,['MOMOI Izumi'],['MOMOI Izumi'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['Shoujo'],[]
Kaette Hoshii no,"Official English ReleaseTatsuru Hayama loves long, luscious locks drape like the person's sitting next to him or, rather, sleeping on his shoulder. After the person wakes up in a nervous spurt, Hayama runs off the last train he could take to get home. From that day forward, before he knows it, his eyes start searching for the person with the soft, long hair. What will Hayama do when the person he runs into isn't an elegant, long-haired angel but a suspicious guy with a buzzcut? First, save his cat. The lives of a med student, a loan shark, and a playful cat come together in an instrumental story with little to no written narrative...",Manga,2012,[],"[{'title': 'Kaette Hoshii no', 'language': 'en'}, {'title': 'I Want You Back', 'language': 'en'}, {'title': 'かえってほしいの', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i223736.jpg,['KURODA Sakaki'],['KURODA Sakaki'],"[{'publisher': 'Shodensha', 'label': ''}]","[{'publisher': 'Shodensha', 'label': 'On Blue'}]","['Slice of Life', 'Yaoi']",[]
Kaette Kita Hatsukoi,"After losing her career and love life, Juliet is back home living with her mother, as if she was nothing but an empty shell. She feels disappointed in herself—she should have become a more careful, reliable, able woman, considering her mediocre childhood and her history of being bullied. Now, she struggles to get back on her own two feet in a hometown where so many memories haunt her. That’s when she unexpectedly runs into Gregor, who, all of a sudden, disappeared from town years ago. Not understanding her bewilderment, he casually calls her “Princess.” Her first love doesn’t even remember her! Is this reunion meant to be her destiny?English version via Renta!",Manga,2011,[],"[{'title': 'Kaette Kita Hatsukoi', 'language': 'en'}, {'title': 'Her Wish-List Bridegroom', 'language': 'en'}, {'title': '帰ってきた初恋', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i170577.jpg,['NAKAYAMA Sara'],['Liz Fielding'],"[{'publisher': 'Harlequin', 'label': ''}]",[],"['Josei', 'Romance']",[]
Kaette Kita Sachiko-san,"After going back 70 years in the past and spend 10 years of her life there, Sachiko comes back to the present.",Manga,2015,[],"[{'title': 'Kaette Kita Sachiko-san', 'language': 'en'}, {'title': 'Kaettekita Sachiko-san', 'language': 'fi'}, {'title': '帰ってきたサチコさん', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i222569.jpg,['SAKU Yukizou'],['SAKU Yukizou'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Flowers'}]",['Josei'],[]
