Isshou Senkin,"After retiring from public fighting and getting fired from underground fighting, 27 year old Tenma Nozomi's zest for life is gradually dwindling away. It's hard to be at the bottom with nowhere to go, and that's exactly where she and her two friends are. However, Nozomi hits upon an idea that may just solve all of their problems: they could make their own underground fighting circuit for women, and tap into an underexplored market. As good as that sounds, her insistence on including the unknown quantity Hongou Hina may prove to be more than she bargained for...",Manga,2023,[],"[{'title': 'Isshou Senkin', 'language': 'en'}, {'title': 'STAR: Strike it Rich', 'language': 'de'}, {'title': 'ST✰R: Strike it Rich', 'language': 'de'}, {'title': '一勝千金', 'language': 'zh-tw'}]","{'volume': 2, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i458484.jpg,['MAAM'],['SANDROVICH Yabako'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Manga One'}, {'publisher': 'Shogakukan', 'label': 'Ura Sunday'}]","['Action', 'Comedy', 'Drama', 'Martial Arts', 'Shounen']",[]
It's Still Too Early to Be in Love,"Official English on FutekiyaUntil now, dark-haired Shuu has been hiding his true self at school. But what happens when this scarred beast meets a pure and love stricken troublemaker !?",Manga,2020,"[{'title': 'Koi ni Kizuita Sono Hi kara', 'type': 'Manga', 'relation': 'Sequel'}]","[{'title': ""It's Still Too Early to Be in Love"", 'language': 'en'}, {'title': ""It's Still Too Early to Be Love"", 'language': 'en'}, {'title': 'Koi wo Shiru ni wa Mada Aoi', 'language': 'sw'}, {'title': 'Still green to know what love is', 'language': 'en'}, {'title': '恋を知るにはまだ青い', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i416450.jpg,['ITOU Ryou (II)'],['ITOU Ryou (II)'],"[{'publisher': 'Daitosha', 'label': ''}]","[{'publisher': 'Daitosha', 'label': 'macaronRINX'}]","['Drama', 'Romance', 'School Life', 'Slice of Life', 'Yaoi']",[]
Itazura na Hanashi,,Manga,2000,[],"[{'title': 'Itazura na Hanashi', 'language': 'en'}, {'title': 'Story of Child Play', 'language': 'en'}, {'title': 'イタズラな話', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['ROKUMEI Kanau'],['ROKUMEI Kanau'],"[{'publisher': 'Shinkousha', 'label': ''}]",[],"['Adult', 'Hentai', 'Lolicon']",[]
Itoshi no Kana,"From Solaris-SVU:Though his name may mean good luck, Daikichi is far from lucky. Losing his home and his job, he narrowly avoids being homeless when he finds an old abandoned apartment building. But the apartment isn't nearly as abandoned as it first appeared, as it's being occupied by the ghost of a girl who committed suicide there many years prior.",Manga,2006,[],"[{'title': 'Itoshi no Kana', 'language': 'en'}, {'title': 'I Wonder If I Love You', 'language': 'en'}, {'title': 'My Lovely Ghost KANA', 'language': 'en'}, {'title': 'Stormy Date', 'language': 'en'}, {'title': '愛しのかな', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",,['TANAKA Yutaka'],['TANAKA Yutaka'],"[{'publisher': 'Takeshobo', 'label': ''}]","[{'publisher': 'Takeshobo', 'label': 'Doki!'}]","['Adult', 'Comedy', 'Drama', 'Hentai', 'Romance', 'Supernatural']",[]
Jafuu no Stra,"The beginning of the end of the world. Humans face not the fate of death, but being enslaved to cruel demons.After eons of peace in the human realm, a heinous race of demons has suddenly appeared. With the wizards extinct, the only hope against the demons seems destroyed, but from this despair ridden land a mysterious boy has appears. Could he be the messiah who’s come to save humanity? A magical fantasy woven by the bond between two brothers who’ve been torn apart; be ready to carve the roar of victory in your soul!",Manga,2013,[],"[{'title': 'Jafuu no Stra', 'language': 'en'}, {'title': 'Kaze no Stra', 'language': 'hr'}, {'title': 'Stra the Warlock', 'language': 'en'}, {'title': '邪風のストラ', 'language': 'ja'}, {'title': '邪风之魔导士', 'language': 'zh-cn'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i211701.jpg,['IWATA Nawoya'],['IWATA Nawoya'],"[{'publisher': 'DeNA', 'label': ''}, {'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'DeNA', 'label': 'Manga Box'}]","['Drama', 'Fantasy', 'Shounen']",[]
Iya da to Ieru Tsuyoki Shoujo to Ero Seitaishi,,Manga,2015,[],"[{'title': 'Iya da to Ieru Tsuyoki Shoujo to Ero Seitaishi', 'language': 'en'}, {'title': 'The Strong-Willed Girl That Can Say No and the Erotic Osteopath', 'language': 'en'}, {'title': 'イヤだと言える強気少女とエロ整体師', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Anma'],['Anma'],[],[],"['Adult', 'Hentai']",[]
Itoko to Issho ni Orusuban,"Daiki's neglected cousin stays with him during a holiday, and he finds that his little cousin has a very big crush on him.",Manga,2024,[],"[{'title': 'Itoko to Issho ni Orusuban', 'language': 'en'}, {'title': 'Itoko to Issho ni Orusuban ~Fubin Shounen to Doutei Daigakusei no Isshuukan~', 'language': 'fi'}, {'title': 'Staying at Home with My Cousin', 'language': 'en'}, {'title': 'いとこと一緒にお留守番～不憫少年と童貞大学生の一週間～', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i456604.jpg,['あおっぱなや (ぁぉP)'],['あおっぱなや (ぁぉP)'],[],[],"['Adult', 'Shotacon', 'Smut', 'Yaoi']",[]
Jikan wo Tomete Matteite,"Scanlated by MangaSync as part of the Miriam series.From skynet:The super child, Miriam, has grown up and is perhaps falling in love. Yet Douglas, who used to be the leader of the teenage ruffians and is 9 years older than Miriam (though rumoured to have the mentality of a 17 year old) only sees her as a child. So! Douglas, stop the time and wait for me... while I go off to the next town, fall from a cliff, lose my memory, and find myself involved in a criminal intrigue!!!Second of Miriam series.",Manga,1985,"[{'title': 'Sorenari ni Romantic', 'type': 'Manga', 'relation': 'Sequel'}, {'title': 'Miriam', 'type': 'Manga', 'relation': 'Prequel'}]","[{'title': 'Jikan wo Tomete Matteite', 'language': 'en'}, {'title': ""Douglas and Milium's Hearful Western"", 'language': 'en'}, {'title': 'Jikan wo Tomete Matte ite', 'language': 'af'}, {'title': 'Miriam’s Heartful Western', 'language': 'en'}, {'title': 'Stop the time and Wait for me', 'language': 'en'}, {'title': 'Stop Time & Wait For Me', 'language': 'en'}, {'title': 'ฝากรักไว้ที่ปลายเวลา', 'language': 'th'}, {'title': 'สาวน้อยแสนกล', 'language': 'th'}, {'title': 'หยุดเวลาให้หัวใจ', 'language': 'th'}, {'title': '時間をとめて待っていて', 'language': 'ja'}]","{'volume': 3, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i127756.png,['HIKAWA Kyouko'],['HIKAWA Kyouko'],"[{'publisher': 'Hakusensha', 'label': ''}]","[{'publisher': 'Hakusensha', 'label': 'LaLa'}]","['Action', 'Adventure', 'Comedy', 'Historical', 'Romance', 'Shoujo']",[]
Jimikko JK,Multi-work series list:1. A Story about Playing around with a Modest JK Who Turns into a Gal Hostess at a Titty Bar. / Jimikko JK ga Oppub de Gal-ka Shite Moteasobu Hanashi. (地味っ娘JKがおっパブでギャル化してもてあそぶ話。)2. A Story about Falling in Love with a Modest JK but It Turns Out She’s a Gal / Jimikko JK ni Koishita hazu ga Gal datta Hanashi. (地味っ娘JKに恋したはずがギャルだった話。),Manga,2020,[],"[{'title': 'Jimikko JK', 'language': 'en'}, {'title': ""A Story About Falling In Love With a Modest JK But It Turns Out She's a Gal"", 'language': 'en'}, {'title': 'A Story About Playing Around With a Modest JK Who Turns Into a Gal Hostess at a Titty Bar.', 'language': 'en'}, {'title': 'Jimikko JK ga Oppub de Gal-ka Shite Moteasobu Hanashi.', 'language': 'et'}, {'title': 'Jimikko JK ni Koishita Hazu ga Gal Datta Hanashi.', 'language': 'sw'}, {'title': 'Modest High School Girl', 'language': 'en'}, {'title': 'Modest JK', 'language': 'fr'}, {'title': '地味っ娘JK', 'language': 'ko'}, {'title': '地味っ娘JKがおっパブでギャル化してもてあそぶ話。', 'language': 'ja'}, {'title': '地味っ娘JKに恋したはずがギャルだった話。', 'language': 'ja'}]","{'volume': 0, 'status': ''}",,['Citron no mori (YUZUNA Hiyo)'],['Citron no mori (YUZUNA Hiyo)'],[],[],"['Adult', 'Hentai']",[]
Japanesque Guuwa: Kitsunegahara no Ihoujin,,Manga,2006,[],"[{'title': 'Japanesque Guuwa: Kitsunegahara no Ihoujin', 'language': 'en'}, {'title': 'A Stranger in Kitsunegahara', 'language': 'id'}, {'title': 'A Stranger in Kitsunegahara: Japanesque Fabel', 'language': 'id'}, {'title': 'Kitsunegahara no Ihoujin', 'language': 'sw'}, {'title': 'Kitsunegahara no Ihoujin: Japanesque Guuwa', 'language': 'sw'}, {'title': 'ジャパネスク寓話', 'language': 'ja'}, {'title': 'ジャパネスク寓話 狐ヶ原の異邦人', 'language': 'ja'}, {'title': 'ジャパネスク寓話狐ヶ原の異邦人', 'language': 'ja'}, {'title': '狐ヶ原の異邦人', 'language': 'ja'}, {'title': '狐ヶ原の異邦人 ジャパネスク寓話', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i30852.jpg,[],['HIGAKI Reiko'],"[{'publisher': 'Akita Shoten', 'label': ''}]","[{'publisher': 'Akita Shoten', 'label': 'Princess Gold'}]","['Fantasy', 'Historical', 'Romance', 'Shoujo']",[]
