Hana to Sakazuki,"Ayame is 25 years old. She lost her father fifteen years ago, and is now in search of the pub that she had once frequented with him. Night after night, she stops in at pubs on her way home from work, and on one particular night happens across a man who might be able to help her find what she's missing...",Manga,2014,[],"[{'title': 'Hana to Sakazuki', 'language': 'en'}, {'title': 'Flowers and Pints', 'language': 'en'}, {'title': 'الزهور والمكاييل', 'language': 'ar'}, {'title': '花とサカヅキ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i231817.jpg,['Tsutomu'],['Tsutomu'],"[{'publisher': 'Mag Garden', 'label': ''}]","[{'publisher': 'Mag Garden', 'label': 'Eden'}]","['Drama', 'Seinen', 'Slice of Life']",[]
Hana to Ookami,,Manga,2010,[],"[{'title': 'Hana to Ookami', 'language': 'en'}, {'title': 'Flower and Wolf', 'language': 'en'}, {'title': '花と狼', 'language': 'ja'}, {'title': '花与狼', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i118383.png,['MAYAMA Jun'],['MAYAMA Jun'],"[{'publisher': 'Core Magazine', 'label': ''}]","[{'publisher': 'Core Magazine', 'label': 'Drap'}]","['Action', 'Drama', 'Romance', 'Yaoi']",[]
Hana to Squall,,Manga,2015,[],"[{'title': 'Hana to Squall', 'language': 'en'}, {'title': 'Flower & Squall', 'language': 'en'}, {'title': '花とスコール', 'language': 'ja'}, {'title': '花與狂風', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i314029.jpg,['GOTO Misaki'],['GOTO Misaki'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-ComiX'}]","['Romance', 'School Life', 'Shoujo']",[]
Hana to Uso to Makoto,"Some time before the June of summer. One day, she suddenly died...""I"" and the corpse of the girl who should have died, ""Makoto"", spent those false summer days in that apartment.The relationship between these two sad, distorted people slowly becomes clearer...",Manga,2014,[],"[{'title': 'Hana to Uso to Makoto', 'language': 'en'}, {'title': 'Fleur, Mensonge et Makoto', 'language': 'fr'}, {'title': 'Flowers, Lies, and Makoto', 'language': 'en'}, {'title': 'Hana, Lies, and Makoto', 'language': 'en'}, {'title': '花と嘘とマコト', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i228316.jpg,['Asano'],['Asano'],"[{'publisher': 'Akita Shoten', 'label': ''}]","[{'publisher': 'Akita Shoten', 'label': 'Champion Tap!'}]","['Drama', 'Shounen', 'Slice of Life', 'Supernatural', 'Tragedy']",[]
Hana wa Junai ni Junjiru,"1. The Flower That's Sacrificed to Pure LoveAt the mansion where his father worked as a gardener, young Daniel met Tsubaki, who was destined to become a ""Hana"", an official prostitute that serves only the royalty and nobles. In order to have Tsubaki, Daniel went to England to further his studies, and eventually won the highest accolates for a gardener. Coming back to his motherland, Alexxa, after fifteen long years to receive his peerage, he finds that... -From Blissful Sin2-4. The Flower That Blooms in Pure LoveKatsumi accompanies his boss to a brothel, but always waits outside. One night he meets Shrill, a young boy who lives in the brothel, although he is not yet a ""Hana"". Soon they begin to develop feelings for one another... but of course there is a problem. In Alexxa, the ""Hana"" only serve those with noble blood from their country, and Katsumi is from the Japanese embassy. How will they keep their love?5&6. The Flower That Blooms in ReminiscenceWhen Iris's master dies, he is left as part of the inheritance to the master's son Leonard. The late master raised Iris with kindness and love... but Leonard hates the ""Hana"" system. Iris is left in the hands of a man who hates him... but why did Leonard embrace him?7. The Flower That is Blooming in BlissfulnessExtra to Chapter 18. The Flower That is Loved ForeverShort story - Skipped9. Imitation GoldTwo noblemen, pride, love, and money.10. Deer HuntingContinuation of Imitation Gold",Manga,2008,[],"[{'title': 'Hana wa Junai ni Junjiru', 'language': 'en'}, {'title': 'Flower That’s Sacrificed to Pure Love', 'language': 'en'}, {'title': '花は純愛に殉じる', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i73932.png,['KOUJI Tatsuru'],['KUIBIRA Harumo'],"[{'publisher': 'Gentosha', 'label': ''}, {'publisher': 'Shinkousha', 'label': ''}]","[{'publisher': 'Gentosha', 'label': 'Lynx'}, {'publisher': 'Shinkousha', 'label': 'Guilty'}]","['Drama', 'Historical', 'Romance', 'Yaoi']",[]
"Hana wa Saku, Shura no Gotoku","Kana, who lives on the small island of Tonakijima with a population of 600, loves to read to the children of the island. Mizuki, the president of the broadcasting club at school, recognizes Kana's ability to engage with people through her reading and invites her to join the club. ""Tell me what you really want, and I will make it come true. I want to join the broadcasting club.""Kana decides to join the club, and as she experiences many ""firsts"" with the members of the broadcasting club, she begins to deepen her love of reading.",Manga,2021,[],"[{'title': 'Hana wa Saku, Shura no Gotoku', 'language': 'en'}, {'title': 'Flower and Asura', 'language': 'en'}, {'title': '群花綻放、彷如修羅', 'language': 'zh-tw'}, {'title': '花は咲く、修羅の如く', 'language': 'ja'}]","{'volume': 7, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i437226.jpg,['Musshu'],['TAKEDA Ayano'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Ultra Jump'}]","['Drama', 'School Life', 'Seinen']",[]
Hana to Tenbin,,Manga,2012,[],"[{'title': 'Hana to Tenbin', 'language': 'en'}, {'title': 'Flower and Balance', 'language': 'en'}, {'title': '花と天秤', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i175211.jpg,['HASHIBA Mao'],['HASHIBA Mao'],"[{'publisher': 'Shueisha', 'label': ''}]","[{'publisher': 'Shueisha', 'label': 'Cocohana'}]",['Josei'],[]
Hana Tokidoki Kuma,"A high school student, Sumito, who had just been playing with his friends, is currently absorbed in the coffee shop's notebook. While perusing the notebook, he replies to a comment written out in beautiful characters. From that day on, the interaction between him and his favorite ""girlfriend"" at the old coffee shop continued without any direct contact, and Sumito's love grew day by day. One day, Sumito learned that the ""person from the notebook"" would come to the store, and he eagerly visited the store, but what was waiting for him wasn't the pretty girl that Sumito had dreamed of, but someone 190cm tall... It was a huge man, Kokuma!Note: All chapters are available on the scanlation group's website.Click Here to go to the website",Manga,2021,[],"[{'title': 'Hana Tokidoki Kuma', 'language': 'en'}, {'title': 'Flowers and Bears', 'language': 'en'}, {'title': '花ときどきくま', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i343471.jpg,['SUMIYA Kei'],['SUMIYA Kei'],"[{'publisher': 'Kasakura Shuppansha', 'label': ''}]","[{'publisher': 'Kasakura Shuppansha', 'label': 'Equal'}]","['Romance', 'School Life', 'Yaoi']",[]
Hana-chan to Kuma-chan,,Manga,1998,[],"[{'title': 'Hana-chan to Kuma-chan', 'language': 'en'}, {'title': 'Flower-Chan and Bear-Chan', 'language': 'en'}, {'title': '花ちゃんと熊ちゃん', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i92162.jpg,['YUMARU Arisa'],['YUMARU Arisa'],"[{'publisher': 'Shinshokan', 'label': ''}]",[],['Shounen Ai'],[]
꽃보다 꽃봉오리,"Aimi and her friends want to prank the pedophile teacher, but it all goes wrong...""Original"" doujinshi by the circle REDLIGHT.",Manga,2008,[],"[{'title': 'Hana Yori Tsubomi', 'language': 'en'}, {'title': 'Blooming of a Flower', 'language': 'en'}, {'title': 'FLORECER', 'language': 'de'}, {'title': 'Вот и ягодка созрела...', 'language': 'mk'}, {'title': 'ยามดอกไม้ผลิบาน', 'language': 'th'}, {'title': '花よりつぼみ', 'language': 'ja'}, {'title': '꽃보다 꽃봉오리', 'language': 'ko'}]","{'volume': 0, 'status': ''}",,['REDLIGHT'],['REDLIGHT'],[],[],"['Adult', 'Hentai', 'Lolicon']",[]
