Amakute Tsurakute Suppai,,Manga,2024,[],"[{'title': 'Amakute Tsurakute Suppai', 'language': 'en'}, {'title': 'Sweet, Spicy, Sour', 'language': 'en'}, {'title': '甘くて辛くて酸っぱい', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i449955.jpg,['Hasha'],['Hasha'],"[{'publisher': 'Magazine House', 'label': ''}]","[{'publisher': 'Magazine House', 'label': 'Shuro'}]","['Seinen', 'Slice of Life']",[]
Amakute Ryouteki na Igarashi-kun,,Manga,2023,[],"[{'title': 'Amakute Ryouteki na Igarashi-kun', 'language': 'en'}, {'title': '甘くて猟奇的な五十嵐くん', 'language': 'ja'}]","{'volume': 0, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i415634.jpg,['Suzuna (鈴菜)'],['Suzuna (鈴菜)'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': '&Flower'}]","['Romance', 'Shoujo']",[]
Amalfi no Koushaku,"While visiting the Amalfi coast, travel consultant Sabrina is almost run over by a stately luxury car. She manages to avoid its path, but ends up injured nonetheless. The owner of the car is Marco, who is not only a doctor, but a duke. Since Sabrina can barely walk, he invites her to recover at his home. Though hesitant, Sabrina accompanies him to his villa...but something isn't right. His servants are giving her the strangest looks...as if they've seen a ghost!",Manga,2012,[],"[{'title': 'Amalfi no Koushaku', 'language': 'en'}, {'title': ""The Duke's New Year's Resolution"", 'language': 'en'}, {'title': 'アマルフィの公爵', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i240527.jpg,['NATSUKI Mio'],['Merline Lovelace'],"[{'publisher': 'Harlequin', 'label': ''}]",[],"['Josei', 'Romance']",[]
Amami Dokoro,"A collection of happy sex stories. The first is the focus of the collection and is about a girlfriend that really likes to kiss her boyfriend.1. Amamidokoro R High-school student Ueda Shinichi always gets kissed by his childhood friend, Koiwa Amami, regardless of time or place. No matter how much he appeals to her common sense, she just won't stop her excessive kissing attacks. How can he get her to stop?2-4. Amamidokoro5. Taputoro Swim (Flabby Oily Swim)The swimming club's ace falls into a slump when she can't get her times to improve. She concludes that her busty figure must be at fault. So, she turns to her club's advisor and teacher to help her with a special massage.6-7. IyashimaiTwo sisters decide to take care of their injured brother's daily needs while he can't use his injured arms. That also includes his sexual needs.8. Max AkariAfter the smart weirdo of the class overhears the saying ""men can live on boobs alone"", she decides to test out her new knowledge on her childhood friend.9. Yawaraka Unlimited (Tenderness Unlimited)One day, a well-endowed girl shows up at a breast enthusiast's door and declares that he's been selected as an exclusive member of a strange organisation. One of his membership's benefits is to use her as he likes. What will he do?10. Amamidokoro S",Manga,2010,[],"[{'title': 'Amami Dokoro', 'language': 'en'}, {'title': 'あまみドコロ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Mutsutake'],['Mutsutake'],"[{'publisher': 'Core Magazine', 'label': ''}]","[{'publisher': 'Core Magazine', 'label': 'Comic Megastore'}]","['Adult', 'Hentai', 'School Life']",[]
"Amakute, Tsumetai","From Fujoshi Bitches:Beautiful college student, Yonomori, is secretly enamored by his underclassman, Hinohara. He’s a really cocky junior, but sometimes, Hinohara touches him as if he were a precious jewel and makes his days full of heart-wrenching hope. And on one of those days, he is shocked to learn that Hinohara has a person he likes. Even while being plagued with hesitation, Yonomori goes to Hinohara to inquire about the identity of that person. But in exchange for an answer, Yonomori is to become...?",Manga,2012,[],"[{'title': 'Amakute, Tsumetai', 'language': 'en'}, {'title': 'Sweet and yet Cold', 'language': 'en'}, {'title': 'The Sweet, Cold', 'language': 'en'}, {'title': 'Сладкий, но такой холодный', 'language': 'ru'}, {'title': 'あまくて、つめたい', 'language': 'ja'}, {'title': '如此温柔、又如此冷漠', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i174928.jpg,['FUYUNO Ikuya'],['FUYUNO Ikuya'],"[{'publisher': 'Frontier Works', 'label': ''}]","[{'publisher': 'Frontier Works', 'label': 'Daria'}]","['Drama', 'Romance', 'Yaoi']",[]
아마미야 선생님은 아직 사랑을 모른다,,Manga,2018,"[{'title': 'Bokutachi wa Unmei ni Kirawareteiru', 'type': 'Manga', 'relation': 'Adapted From'}]","[{'title': 'Amamiya Sensei wa Mada Koi wo Shiranai', 'language': 'en'}, {'title': '雨宮先生はまだ恋を知らない', 'language': 'ja'}, {'title': '아마미야 선생님은 아직 사랑을 모른다', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i270767.jpg,['KINACO'],['KINACO'],"[{'publisher': 'Enterbrain', 'label': ''}]","[{'publisher': 'Enterbrain', 'label': ""B's-LOVEY""}]","['Romance', 'School Life', 'Yaoi']",[]
아마미야 군에게서 도망칠 수 없어!,"A heartbroken, plain, glasses-wearing girl gradually falls for a younger guy's unusual approach to romance and finally gets how sex should be.Official Translations:English, S.Chinese, T.Chinese, Korean",Manga,2023,[],"[{'title': 'Amamiya-kun Kara wa Nigerarenai!', 'language': 'en'}, {'title': ""I Can't Escape Amamiya-kun!"", 'language': 'tl'}, {'title': '逃不出雨宫君的手掌心！', 'language': 'ko'}, {'title': '逃不出雨宮君的手掌心！', 'language': 'ko'}, {'title': '雨宮くんからは逃げられない!', 'language': 'ja'}, {'title': '아마미야 군에게서 도망칠 수 없어!', 'language': 'ko'}]","{'volume': 1, 'status': 'Complete'}",,['Nikopin'],['Nikopin'],"[{'publisher': 'DLsite', 'label': ''}]","[{'publisher': 'DLsite', 'label': 'Garumani Senbai'}]","['Adult', 'Drama', 'Hentai', 'Josei', 'Romance']",[]
Amamitsu Maid Cafe,"My two sisters and I own a cafe on top of a hill. I'm the patissiere. I always ask Rei Yuuki, a regular who's three years younger than me, for feedback on my latest creations. He swears like a sailor, but... gives the best feedback a girl could ask for. Then again, he's so popular with other girls that everyone calls him ""prince."" I don't think he'd be interested in an older girl like me...Official English Translation",Manga,2015,[],"[{'title': 'Amamitsu Maid Cafe', 'language': 'en'}, {'title': 'Candied Maid Cafe', 'language': 'cy'}, {'title': '甘蜜メイドカフェ', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i402108.jpg,['HARUNO Saku'],['HARUNO Saku'],"[{'publisher': 'Daitosha/Shusuisha', 'label': ''}]","[{'publisher': 'Daitosha/Shusuisha', 'label': 'mini Berry'}]","['Josei', 'Romance', 'Smut']",[]
"Amamiya-san, Dokittosaseru no Kinshi desu!","Her boss pinned her down in the company’s nap room and told her, ""The truth is, is that you want to sleep with me right?"" while his lips drew nearer to hers… Romance between av scriptwriter and subordinate who is shy about sex but only works there because she admires him.Original MangaPiccoma, ComicoOfficial English translation:Coolmic, INKR",Manga,2017,[],"[{'title': 'Amamiya-san, Dokittosaseru no Kinshi desu!', 'language': 'en'}, {'title': 'AV Kyakuhonka Nara Kore Gurai Futsuu Daro?', 'language': 'id'}, {'title': 'AV脚本家なら、これぐらい…普通だろ？', 'language': 'ja'}, {'title': 'The Life of an Adult Video Script Writer', 'language': 'en'}, {'title': '天宮さん、ドキッとさせるの禁止です!', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i313915.jpg,['KANAMORI Keita'],['KANAMORI Keita'],"[{'publisher': 'Suiseisha', 'label': 'print'}, {'publisher': 'wwwave comics', 'label': 'digital'}]","[{'publisher': 'wwwave comics', 'label': 'CocoCheek'}]","['Josei', 'Romance']",[]
Amairo Onee-san,,Manga,2015,[],"[{'title': 'Amairo Onee-san', 'language': 'en'}, {'title': 'あまいろおねえさん', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['Ichiko'],['Ichiko'],"[{'publisher': 'Angel Shuppan', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Amaiwana ni Oboretara,,Manga,2021,[],"[{'title': 'Amaiwana ni Oboretara', 'language': 'en'}, {'title': '甘い罠に溺れたら', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i442073.jpg,['KITAMI Akiko'],['MIKI Minami'],"[{'publisher': 'Amucomi', 'label': ''}]","[{'publisher': 'Amucomi', 'label': 'Comic Pecora'}]","['Drama', 'Josei', 'Romance']",[]
