Ichigo Kariudo,,Manga,2005,[],"[{'title': 'Ichigo Kariudo', 'language': 'en'}, {'title': 'Ichigo Hunter', 'language': 'en'}, {'title': 'Strawberry Hunter', 'language': 'en'}, {'title': '苺・狩人', 'language': 'ja'}, {'title': '苺狩人', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i26394.jpg,[],['SHIOSE Jun'],"[{'publisher': 'Kasakura Shuppansha', 'label': ''}]",[],"['Shotacon', 'Yaoi']",[]
Ichigo Kintoki Remon Aji,,Manga,1990,[],"[{'title': 'Ichigo Kintoki Remon Aji', 'language': 'en'}, {'title': 'Ichigo Kintoki Lemon Aji', 'language': 'sw'}, {'title': 'いちご金時れもん味', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i200307.jpg,[],['URAKAWA Masaru'],"[{'publisher': 'Shueisha', 'label': ''}]",[],['Shoujo'],[]
Ichigo Mashimaro,"""Cute girls doing cute things in cute ways."" Everyday things make up the fabric of life, whether it's making friends, going to school, trying to make money, or celebrating a holiday. Ichigo Mashimaro follows the antics and daily lives of Chika Itoh, her sister Nobue, and her friends Miu, Matsuri, and Ana.",Manga,2002,[],"[{'title': 'Ichigo Mashimaro', 'language': 'en'}, {'title': 'Erdbeeren & Marshmallows', 'language': 'en'}, {'title': 'Kẹo Dâu Tây', 'language': 'vi'}, {'title': 'Le petites fraises', 'language': 'fr'}, {'title': 'Strawberry Marshmallow', 'language': 'en'}, {'title': 'Клубничный зефир', 'language': 'ru'}, {'title': '苺ましまろ', 'language': 'ja'}]","{'volume': 9, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i412424.jpg,['Barasui'],['Barasui'],"[{'publisher': 'Media Works', 'label': ''}]","[{'publisher': 'Media Works', 'label': 'Comic Dengeki Daioh'}, {'publisher': 'Media Works', 'label': 'Dengeki Moeoh'}]","['Comedy', 'School Life', 'Shounen', 'Slice of Life']",[]
Ichigo Mietsuketa,,Manga,1978,[],"[{'title': 'Ichigo Mietsuketa', 'language': 'en'}, {'title': 'いちご見いつけた', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i200308.jpg,['KOMORI Mami'],['KOMORI Mami'],"[{'publisher': 'Akita Shoten', 'label': ''}]",[],['N/A'],[]
Ichigo Milk,,Manga,2002,[],"[{'title': 'Ichigo Milk', 'language': 'en'}, {'title': 'いちご・みるく', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['TOKUNAGA Tomoko'],['TOKUNAGA Tomoko'],"[{'publisher': 'Core Magazine', 'label': ''}]","[{'publisher': 'Core Magazine', 'label': 'Comic Hotmilk'}]","['Adult', 'Hentai']",[]
Ichigo Milk³,,Manga,1987,[],"[{'title': 'Ichigo Milk³', 'language': 'en'}, {'title': 'Ichigo Milk3', 'language': 'sw'}, {'title': 'Strawberry Milk3', 'language': 'en'}, {'title': 'Strawberry Milk³', 'language': 'en'}, {'title': 'いちごみるく3', 'language': 'ja'}, {'title': 'いちごみるく³', 'language': 'ja'}]","{'volume': 2, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i200311.jpg,['TAKEDA Mariko'],['TAKEDA Mariko'],"[{'publisher': 'Kodansha', 'label': ''}]","[{'publisher': 'Kodansha', 'label': 'Nakayoshi'}]",['Shoujo'],[]
Ichigo no Gakkou,"From Operation Boredom:Itabashi Kurumi was a regular, everyday high-school student... until she got pregnant by none other than her teacher, Oomiya Ichigo-sensei. Now pregnant, Kurumi dropped out of school and Oomiya got fired from his job. Half a year later, the two get married and live with their kid. The two of them have to get through the many obstacles ahead of them, as they now face only challenges.",Manga,2007,[],"[{'title': 'Ichigo no Gakkou', 'language': 'en'}, {'title': ""Ichigo's School"", 'language': 'en'}, {'title': 'いちごの学校', 'language': 'ja'}, {'title': '草莓老师的学校', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i75494.jpg,['KIZUKI Akira'],['SATOU Nanki'],"[{'publisher': 'Shonen Gahosha', 'label': ''}]","[{'publisher': 'Shonen Gahosha', 'label': 'Young King'}]","['Drama', 'Mature', 'Romance', 'Seinen', 'Slice of Life']",[]
Ichigo Moyou,,Manga,2004,[],"[{'title': 'Ichigo Moyou', 'language': 'en'}, {'title': 'いちご模様', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i22953.jpg,['TANAKA Hiromi (田中ヒロミ)'],['TANAKA Hiromi (田中ヒロミ)'],"[{'publisher': 'Shobunkan', 'label': ''}]",[],"['Romance', 'School Life', 'Shoujo']",[]
Ichigo no Hanayome,,Manga,2007,[],"[{'title': 'Ichigo no Hanayome', 'language': 'en'}, {'title': '苺の花嫁', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['MIZUSHIMA Sorahiko'],['MIZUSHIMA Sorahiko'],"[{'publisher': 'Shonen Gahosha', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Ichigo no Hishosama,,Manga,2011,[],"[{'title': 'Ichigo no Hishosama', 'language': 'en'}, {'title': 'Ichigo no Hisho-sama', 'language': 'so'}, {'title': 'いちごの秘書サマ', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",,['ICHIGONO Shizuku'],['ICHIGONO Shizuku'],"[{'publisher': 'Shonen Gahosha', 'label': ''}]",[],"['Adult', 'Hentai']",[]
Ichigo no Mura no Ohanashitachi,In the Ichigo no Mura no Ohanashitachi (Stories of Strawberry Village) series:V.1 - Chīsana o Uchi e Yōkoso (小さなおうちへようこそ) - Welcome to Little HouseV.2 - Hoshi no Furu Gakkō de Mitsuketa (星のふる学校でみつけた) - I Found School Full of StarsV.3 - Hajimemashite no Ichinichi (はじめましての一日) - Nice to Meet You One dayV.4 - Happy Pan Yakitate Desu (ハッピーパンやきたてです) - Happy Is Freshly Baked BreadV.5 - Kaigara buresuretto kirari ☆ (貝がらブレスレットきらり☆) - Shell Bracelet Glitter ☆,Manga,2013,[],"[{'title': 'Ichigo no Mura no Ohanashitachi', 'language': 'en'}, {'title': 'Stories of Strawberry Village', 'language': 'en'}, {'title': 'イチゴの村のお話たち', 'language': 'ja'}]","{'volume': 5, 'status': 'Ongoing'}",https://cdn.mangaupdates.com/image/i200313.jpg,[],['MA Field'],"[{'publisher': 'Gakken Kyouiku Shuppan', 'label': ''}]",[],['N/A'],[]
Ichigo no xxx,A collection of 4 short stories.,Manga,1996,[],"[{'title': 'Ichigo no xxx', 'language': 'en'}, {'title': 'His and Hers', 'language': 'en'}, {'title': 'Ichigo no Kiss Kiss', 'language': 'sw'}, {'title': 'It Could Be True Love or Just a Crush', 'language': 'en'}, {'title': 'Strawberry Kisses', 'language': 'de'}, {'title': 'いちごの×××', 'language': 'ja'}, {'title': '草莓之恋', 'language': 'zh-cn'}, {'title': '草莓之戀', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i58343.gif,['TAKADA Tami'],['TAKADA Tami'],"[{'publisher': 'Kodansha', 'label': ''}]",[],"['Romance', 'Shoujo']",[]
Ichigo Office,,Manga,2002,[],"[{'title': 'Ichigo Office', 'language': 'en'}, {'title': 'いちごオフィス', 'language': 'ja'}]","{'volume': 4, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i23812.jpg,['KOIKEDA Maya'],['KOIKEDA Maya'],"[{'publisher': 'Daitosha', 'label': ''}]",[],['N/A'],[]
Ichigo Nouka Fuufu no Nichijou,Original Webtoon,Manga,2023,[],"[{'title': 'Ichigo Nouka Fuufu no Nichijou', 'language': 'en'}, {'title': 'いちご農家夫婦の日常', 'language': 'ja'}]","{'volume': 0, 'status': ''}",https://cdn.mangaupdates.com/image/i430812.png,['NATSUMURA Touwa'],['TAKAMOTO Kenmori'],"[{'publisher': 'Novelpia', 'label': ''}]",[],"['Comedy', 'Romance', 'Shoujo', 'Slice of Life']",[]
Ichigo Pure,,Manga,2008,[],"[{'title': 'Ichigo Pure', 'language': 'en'}, {'title': 'いちごPure', 'language': 'ja'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i48025.jpg,['HAZUKI Yuui'],['HAZUKI Yuui'],"[{'publisher': 'Futabasha', 'label': ''}]",[],['Shoujo'],[]
Ichigo Switch!,"From Chibi Manga:I'm ichigo. I'm attending the high school for learner actresses.I'm actually working on the anime ""Wilde Berry"" but I'm suck at playing love scenes (><😉And one day, the popular Chiaki-kun told me ""teach me about love!!"" and then I understood that chiaki-kun was actually seeing ""wilde berry"". eh...?!so the popular Chiaki-kun is an...Otaku?!!Other stories:Christmas Shimasho",Manga,2012,"[{'title': 'Christmas Shimasho', 'type': 'Manga', 'relation': 'Side Story'}]","[{'title': 'Ichigo Switch!', 'language': 'en'}, {'title': 'Nada Ichigo!', 'language': 'so'}, {'title': 'Strawberry Switch!', 'language': 'en'}, {'title': 'Suis Cinta', 'language': 'en'}, {'title': 'ตกหลุมรักสาวเสียงหวาน Strawberry Switch!', 'language': 'th'}, {'title': 'いちごスイッチ!', 'language': 'ja'}, {'title': '草莓指令！', 'language': 'zh-cn'}]","{'volume': 1, 'status': 'Complete'}",https://cdn.mangaupdates.com/image/i136727.png,['ODAGIRI Nagisa'],['ODAGIRI Nagisa'],"[{'publisher': 'Shogakukan', 'label': ''}]","[{'publisher': 'Shogakukan', 'label': 'Sho-Comi'}]","['Romance', 'Shoujo']",[]
